contig,S102_Sub,S106_Sub,S110_Sub,S156_Sub,S161_Sub,S166_Sub,S1_Sub,S211_Sub,S216_Sub,S221_Sub,S266_Sub,S271_Sub,S276_Sub,S54_Sub,S58_Sub,S5_Sub,S62_Sub,S9_Sub
Thermosphaera,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Spiribacter,9,6,7,3,5,7,5,6,6,7,7,7,3,10,3,8,5,4
Geobacillus,9,12,7,6,7,9,9,2,11,10,7,11,7,9,10,12,6,10
Methylocella,2,2,4,2,3,8,6,4,1,2,6,6,5,2,1,7,3,2
Enterobacter,7,11,15,8,8,10,37,8,13,17,11,16,35,18,10,36,7,41
Aciduliprofundum,1,2,2,2,2,0,0,2,1,0,1,1,2,3,0,0,3,0
Methanosaeta,107595,103989,104171,77330,68648,43940,74293,58815,56317,56421,47814,25899,47523,103186,99087,69434,131520,105155
Acidimicrobium,4,3,8,3,4,8,9,3,1,1,2,4,1,3,1,4,3,3
Desulfotalea,2,2,4,1,4,8,1,0,2,1,2,2,3,1,6,0,0,1
Pseudomonas,121,123,116,101,109,221,185,121,118,102,137,186,119,114,99,285,113,164
Caldilinea,25,35,12,22,13,34,24,21,20,34,19,23,28,42,28,27,50,28
Raoultella,14,1,1,7,3,4,4,15,1,6,1,6,2,25,2,13,2,4
Gluconobacter,0,3,3,1,3,1,4,4,2,1,6,1,8,3,5,9,6,0
Spirochaeta,38,25,31,45,40,51,37,38,37,29,43,46,37,31,18,50,34,33
Methylobacillus,4,2,4,2,4,3,2,7,1,1,2,1,4,1,2,2,5,4
Methanoregula,372,395,296,622,556,613,228,947,738,767,1587,1585,1533,519,451,236,517,352
Methanococcus,7,4,4,3,7,0,0,5,5,4,5,0,2,4,4,0,4,3
Flavobacterium,4,4,5,4,4,2,1,3,3,1,2,4,7,4,4,2,1,2
Chthonomonas,8,4,10,1,4,6,4,10,4,1,0,6,7,7,2,4,6,9
Rhodopirellula,0,2,1,2,2,3,2,0,0,4,0,4,1,2,0,2,1,1
Hydrogenobacter,1,1,1,1,2,1,0,1,0,1,0,2,0,1,0,0,0,0
Ignicoccus,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Nitratifractor,3,2,7,1,9,4,3,4,5,2,6,12,6,4,7,8,5,5
Dactylococcopsis,0,1,0,0,0,0,0,0,2,0,3,1,2,1,2,4,2,0
Halobacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Terriglobus,1,7,9,6,4,14,6,9,9,5,6,13,11,8,2,11,7,7
Sulfobacillus,3,2,3,2,3,5,4,4,2,0,0,1,1,5,3,4,2,1
Streptobacillus,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
